"date","hour","text","source","username","hashtags"	
"2019-06-24","19:46:04","Andrew Wakefield atuava como endocrinologista em 1998, quando publicou um estudo fraudulento ligando vacina ao auti… https://t.co/husZeV9nOP","SocialFlow","bbcbrasil",""	
"2019-06-24","19:30:06","#MaisLidas Brasil perde mais de R$ 30 bi por ano por ineficiência em educação, diz ex-cotado ao MEC Mozart Neves Ra… https://t.co/IAk8CK9p2U","SocialFlow","bbcbrasil","MaisLidas"	
"2019-06-24","19:09:51","Como a quebra de uma companhia aérea ameaça a economia da Islândia https://t.co/s0tuFJscQe https://t.co/0a19HZtRpi","SocialFlow","bbcbrasil",""	
"2019-06-24","18:49:05","'Mapa das bebidas' revela: leite é coisa de nórdico e refrigerante, de latino-americano https://t.co/uiwMa3Yhl1 https://t.co/1OYB8difNX","SocialFlow","bbcbrasil",""	
"2019-06-24","18:31:07","Para além das preocupações americanas com a espionagem chinesa, cientistas e militares temem que a rede #5G interfi… https://t.co/bFffXPUsV2","SocialFlow","bbcbrasil","5G"	
"2019-06-24","18:17:02","#ArquivoBBC Três razões pelas quais ser impaciente pode ser prejudicial à saúde https://t.co/KW4HQwCKxD","SocialFlow","bbcbrasil","ArquivoBBC"	
"2019-06-24","17:53:06","Marijuana Pepsi, a mulher que desafiou bullying por causa de nome https://t.co/u6je0mCPFS https://t.co/toZxcFx9HF","SocialFlow","bbcbrasil",""	
"2019-06-24","17:52:48","O doutor Yves de Locht realiza eutanásias na Bélgica, um dos poucos países no mundo onde a eutanásia é legal. A BBC… https://t.co/Is14ok0gdI","Twitter Web Client","bbcbrasil",""	
"2019-06-24","17:32:04","Cresce número de não-religiosos no mundo árabe, indica pesquisa https://t.co/PToIQAHoHp https://t.co/Mk8WZU29gt","SocialFlow","bbcbrasil",""	
"2019-06-24","17:21:24","Preparados para uma experiência incrível? 🌎 Veja um eclipse solar total como você nunca viu antes: do espaço, de to… https://t.co/NqIiYmdH5z","Twitter Web Client","bbcbrasil",""	
"2019-06-24","17:19:58","#ArquivoBBC O jovem alérgico que evita viajar de avião, comer fora de casa e até beijar na boca… https://t.co/awffSI1ld2","SocialFlow","bbcbrasil","ArquivoBBC"	
"2019-06-24","16:59:04","'Minha vida mudou quando encontrei uma carta da minha mãe biológica': a história da jovem filha de um casal inter-r… https://t.co/JwJ2VtbHzp","SocialFlow","bbcbrasil",""	
"2019-06-24","16:53:05","Após fala de Sergio Moro no Senado, o que acontece agora em quatro pontos https://t.co/r6K83Eqlnb https://t.co/2DBhUqP8pz","SocialFlow","bbcbrasil",""	
"2019-06-24","16:45:04","'Não tinha como dizer ao meu filho qual dos homens que me estupraram era seu pai' https://t.co/8s8PDPfCqV https://t.co/LkKBy5lHpv","SocialFlow","bbcbrasil",""	
"2019-06-24","16:44:07","As impressionantes fotos de aranha comendo um gambá-pigmeu na Austrália https://t.co/iH3s2SlU3O https://t.co/uTCNolhJtk","SocialFlow","bbcbrasil",""	
"2019-06-24","16:41:02","Bomba da 2ª Guerra explode e deixa cratera em campo na Alemanha https://t.co/MUyC9DzODJ https://t.co/BwOzzu6ZtZ","SocialFlow","bbcbrasil",""	
"2019-06-24","16:29:02","#ArquivoBBC A França, por exemplo, é conhecida por generosos intervalos para almoço durante a jornada de trabalho.… https://t.co/zfM0WWjUtR","SocialFlow","bbcbrasil","ArquivoBBC"	
"2019-06-24","16:25:06","A tocante história da enfermeira que adotou garoto com paralisia cerebral abandonado pelos pais… https://t.co/I24vdkzAUq","SocialFlow","bbcbrasil",""	
"2019-06-24","16:24:04","Rede antivacina no Brasil importa teorias da conspiração dos EUA e cresce com sistema de recomendação do YouTube… https://t.co/N3J66ZM3kR","SocialFlow","bbcbrasil",""	
"2019-06-24","16:22:12","Cientistas descobrem sinais de Parkinson no cérebro até 20 anos antes dos sintomas https://t.co/mABLS559Ks https://t.co/UCXIGpuGWE","SocialFlow","bbcbrasil",""	
"2019-06-24","15:58:13","Farsante rouba milhões ao fingir ser ministro francês usando máscara de silicone https://t.co/yIoGIJr0Lq https://t.co/YQky0kgzny","SocialFlow","bbcbrasil",""	
"2019-06-24","15:37:53","Escândalo da #NXIVM: por dentro da seita em que seguidoras eram marcadas a ferro e abusadas por líder… https://t.co/P2pqPBB1Iu","SocialFlow","bbcbrasil","NXIVM"	
"2019-06-24","15:17:06","Com a falência da empresa, o Banco Central islandês foi forçado a refazer suas previsões de crescimento da economia https://t.co/02itmPraoi","SocialFlow","bbcbrasil",""	
"2019-06-24","15:12:49","#MaisLidas Diretor do Instituto Ayrton Senna, Mozart Neves Ramos chegou a ser convidado para ser ministro de Bolson… https://t.co/X7zJCmayI0","SocialFlow","bbcbrasil","MaisLidas"	
"2019-06-24","14:48:02","Colunista E. Jean Carroll escreveu um livro no qual acusa o presidente dos EUA Donald Trump de tê-la estuprado há 2… https://t.co/a3i2nJ30Oo","SocialFlow","bbcbrasil",""	
"2019-06-24","14:44:52","Como identificar os alimentos que parecem saudáveis, mas não são https://t.co/mI5IyFtbMw","SocialFlow","bbcbrasil",""	
"2019-06-24","14:21:03","#ArquivoBBC Um simples abraço pode elevar os níveis de oxitocina no corpo https://t.co/s19lTvrd7F","SocialFlow","bbcbrasil","ArquivoBBC"	
"2019-06-24","14:10:02","Pesquisa mostra que brasileiro tem níveis benéficos de consumo de suco de frutas e de bebidas com adição de açúcar https://t.co/OMY6ZAUlTD","SocialFlow","bbcbrasil",""	
"2019-06-24","13:47:39","Marijuana Pepsi Vandyck diz que passou a vida sendo ridicularizada por causa do nome diferente	 mas em vez de mudá-… https://t.co/IZ0wtfpGrL","SocialFlow","bbcbrasil",""
"2019-06-24","13:27:02","Desde 2013, o número de pessoas em toda a região que se identifica como “não religiosa” subiu de 8% para 13% https://t.co/G2YYvuoMeC","SocialFlow","bbcbrasil",""	
"2019-06-24","13:25:05","#ArquivoBBC Por que ser impaciente para ser prejudicial à saúde https://t.co/b6lOcbUrG6 https://t.co/G9PwkQz1QB","SocialFlow","bbcbrasil","ArquivoBBC"	
"2019-06-24","13:05:07","#VÍDEO Viviane Senna: Brasil ainda não fez lição de casa do século 19 na educação https://t.co/hRQXEgiMJW https://t.co/jcumer7GnY","SocialFlow","bbcbrasil","VÍDEO"	
"2019-06-24","12:52:02","Em última instância, a consequência pode ser que todas as decisões contra Lula podem ser anuladas https://t.co/RpQw7jqnWB","SocialFlow","bbcbrasil",""	
"2019-06-24","12:44:03","A mãe, Carine, foi violentada por ‘100 homens ou mais’ https://t.co/2NvIAiI0s1","SocialFlow","bbcbrasil",""	
"2019-06-24","12:43:02","Só podia ser na Austrália... Uma aranha comendo um gambá https://t.co/jLyZBNApHg","SocialFlow","bbcbrasil",""	
"2019-06-24","12:32:06","Os possíveis sinais de alerta têm a ver com a serotonina do cérebro, a substância que controla o humor, o sono e o… https://t.co/9UhI9nWBG2","SocialFlow","bbcbrasil",""	
"2019-06-24","12:26:01","#ArquivoBBC Alergia alimentar: 'Por que um beijo pode me matar' https://t.co/PhAZRCcsZm","SocialFlow","bbcbrasil","ArquivoBBC"	
"2019-06-24","12:23:03","Em buscas, a @BBCBrasil encontrou 15 vídeos antivacina de brasileiros no YouTube e uma ‘bolha’ de recomendação na p… https://t.co/aSbWp1fkvA","SocialFlow","bbcbrasil",""	
"2019-06-24","12:20:05","Fugindo do apartheid, os pais biológicos de Sara-Jayne King – uma mulher branca e um homem negro – a colocaram para… https://t.co/QoYlg3NQzP","SocialFlow","bbcbrasil",""	
"2019-06-24","12:19:04","'Fui dormir na sexta e só acordei domingo': a desesperadora doença do super-sono https://t.co/eCmBiLxcXh #ArquivoBBC https://t.co/SDSi3mKVj2","SocialFlow","bbcbrasil","ArquivoBBC"	
