date,"hour","text","source","username","hashtags"		
2019-06-25,"2:21:19","STF mantém julgamento de HC de Lula nesta terça, diz Cármen Lúcia https://t.co/wXETVWnNld","WordPress.com","VEJA",""		
2019-06-25,"2:01:46","RT @placar: Copa América: Uruguai vence e encara Peru na próxima fase		
https://t.co/0FbbPagvFp https://t.co/00XMy8fEnR","Twitter for iPhone","VEJA",""		
2019-06-25,"2:01:43","RT @placar: Copa América: Equador e Japão empatam e estão fora do torneio		
https://t.co/J36WaIzFzP https://t.co/4XgMr6qqfp","Twitter for iPhone","VEJA",""		
2019-06-25,"1:12:28","Conselho aprova resolução para quebrar monopólio da Petrobras no gás https://t.co/9xsQKGDxYL","WordPress.com","VEJA",""		
2019-06-25,"0:39:34","Coringa de Bolsonaro assume Correios e evita falar de privatização https://t.co/OIWbmfgZbv","WordPress.com","VEJA",""		
2019-06-25,"0:02:08","Bolsonaro já acumula sete grandes derrotas com Congresso e STF https://t.co/MBtujRRwwj","WordPress.com","VEJA",""		
2019-06-24,"23:41:16","Pedido de extradição de turco opositor de Erdogan é adiado para agosto https://t.co/Dfa2YfDlva","WordPress.com","VEJA",""		
2019-06-24,"23:18:03","OMC vai avaliar medidas da Indonésia sobre frango brasileiro https://t.co/LY247G8FQY","WordPress.com","VEJA",""		
2019-06-24,"23:00:04","RT @placar: https://t.co/z4wH7qFz0D","Twitter for iPhone","VEJA",""		
2019-06-24,"22:59:35","RT @placar: https://t.co/Wp3lHMg0kR","Twitter for iPhone","VEJA",""		
2019-06-24,"22:52:57","Barroso suspende MP de Bolsonaro sobre demarcação de terras indígenas https://t.co/qstBowZ4IH","WordPress.com","VEJA",""		
2019-06-24,"22:44:54","Governo não deve forçar barra em comissão da Previdência, diz Ramos https://t.co/bu0qiYoprN","WordPress.com","VEJA",""		
2019-06-24,"22:40:04","Sérgio Cabral vai ficar 30 dias isolado por conta de home theater na cela https://t.co/8q9ThfHfy1","WordPress.com","VEJA",""		
2019-06-24,"22:24:59","Raquel reforça denúncia e pede que Cedraz seja afastado do TCU https://t.co/7aUHdG2eYf","WordPress.com","VEJA",""		
2019-06-24,"21:57:50","Copa do Mundo Feminina: Suécia e EUA vão às quartas de final https://t.co/ATqsCTulbT","WordPress.com","VEJA",""		
2019-06-24,"21:52:45","Advogado nega que filho de Flordelis confessou assassinato de padrasto https://t.co/XXWVedXflZ","WordPress.com","VEJA",""		
2019-06-24,"21:49:29","Coutinho apoia Fernandinho, que será titular: ‘É um líder no grupo’ https://t.co/lYxQCTJmsK","WordPress.com","VEJA",""		
2019-06-24,"21:47:29","México envia 15.000 para coibir imigração para os Estados Unidos https://t.co/ajOoAXOdMq","WordPress.com","VEJA",""		
2019-06-24,"21:30:57","Apresentada há 26 anos, PEC que reduz a maioridade penal volta a tramitar no Congresso https://t.co/rUEo7ZmZrN","Twitter Web Client","VEJA",""		
2019-06-24,"21:27:22","Bolsonaro diz que vetará lista tríplice em agências reguladoras https://t.co/YAXPqTqTkR","WordPress.com","VEJA",""		
2019-06-24,"21:25:38","Filho de Luciano Huck e Angélica recebe alta da UTI após acidente https://t.co/iXB3bZbf5H","WordPress.com","VEJA",""		
2019-06-24,"21:17:41","Troféus de Boris Becker serão leiloados para pagar suas dívidas https://t.co/TQn0C9N9He","WordPress.com","VEJA",""		
2019-06-24,"21:14:02","Nova denúncia da Lava Jato acusa Paulo Preto de lavagem de dinheiro https://t.co/24XHv4Y49v","WordPress.com","VEJA",""		
2019-06-24,"21:04:14","Bolsonaro diz que há ‘99% de chance’ de F-1 voltar para o Rio https://t.co/7UQYc8DLHn","WordPress.com","VEJA",""		
2019-06-24,"20:57:06","Ibovespa fecha estável na expectativa de votação de texto da Previdência https://t.co/Rw4a06wKWX","WordPress.com","VEJA",""		
